week,match_key,off_pass_att,off_pass_cmp,off_pass_cmp_pct,off_pass_yds_per_att,off_pass_pass_yds,off_pass_td,off_pass_int,off_pass_rate,off_pass_1st,off_pass_1st_pct,off_pass_20_plus,off_pass_40_plus,off_pass_lng,off_pass_sck,off_pass_scky,off_rush_att,off_rush_rush_yds,off_rush_ypc,off_rush_td,off_rush_20_plus,off_rush_40_plus,off_rush_lng,off_rush_rush_1st,off_rush_rush_1st_pct,off_rush_rush_fum,def_pass_att,def_pass_cmp,def_pass_cmp_pct,def_pass_yds_per_att,def_pass_yds,def_pass_td,def_pass_int,def_pass_1st,def_pass_1st_pct,def_pass_sck,def_rush_att,def_rush_rush_yds,def_rush_ypc,def_rush_td,def_rush_rush_1st,def_rush_rush_1st_pct,win_or_lose
w_04,Lions_Packers,34.3333333333333,24,69.9,8,273,1.66666666666667,0.666666666666667,101.6,13,37.9,4.33333333333333,0.333333333333333,45,1,3.33333333333333,30.6666666666667,111.666666666667,3.6,1,0.333333333333333,0,21,6,19.6,0.333333333333333,34.3333333333333,22,64.1,5.8,199.666666666667,1,0.666666666666667,10.3333333333333,30.1,3,32,136.666666666667,4.3,0.666666666666667,9.33333333333333,29.2,1
w_04,Packers_Lions,32,17,53.1,6.8,218.333333333333,2.33333333333333,0.333333333333333,94.8,11,34.4,2.66666666666667,0.333333333333333,51,1,11,26.3333333333333,90.3333333333333,3.4,0.666666666666667,0.666666666666667,0,24,4.66666666666667,17.7,0.333333333333333,39.3333333333333,24.6666666666667,62.7,5.7,225.333333333333,1.33333333333333,0.333333333333333,12.3333333333333,31.4,2.66666666666667,22.6666666666667,72,3.2,0.666666666666667,5.33333333333333,23.5,0
w_04,Falcons_Jaguars,29.3333333333333,18.3333333333333,62.5,6.3,184.333333333333,0.666666666666667,0.333333333333333,83.2,8.33333333333333,28.4,2.33333333333333,0.333333333333333,45,4,29.3333333333333,30.3333333333333,128.333333333333,4.2,1,0.666666666666667,0,22,8.33333333333333,27.5,0,36.6666666666667,24.3333333333333,66.4,7.2,264.333333333333,1.66666666666667,0.666666666666667,11.6666666666667,31.8,1.66666666666667,24.6666666666667,84,3.4,0.666666666666667,5,20.3,0
w_04,Jaguars_Falcons,38.6666666666667,25.3333333333333,65.5,6.4,248,1,0.666666666666667,84.8,12.3333333333333,31.9,2.66666666666667,0.333333333333333,45,2,7.33333333333333,26.6666666666667,98.3333333333333,3.7,1,0.333333333333333,0,26,6,22.5,0.333333333333333,32,18.6666666666667,58.3,5.3,170,1.66666666666667,1,10,31.2,1,28,117.666666666667,4.2,0.333333333333333,6,21.4,1
w_04,Dolphins_Bills,34.3333333333333,24.6666666666667,71.8,10.6,363.666666666667,3,0.666666666666667,127.1,18,52.4,4.66666666666667,1,68,0.333333333333333,1.66666666666667,31,188.333333333333,6.1,2.66666666666667,2,1.33333333333333,67,7.66666666666667,24.7,1.33333333333333,25,16.3333333333333,65.3,5.7,142.333333333333,0.666666666666667,2.33333333333333,8.33333333333333,33.3,4,18.6666666666667,110.666666666667,5.9,0,4,21.4,0
w_04,Bills_Dolphins,36.6666666666667,26.6666666666667,72.7,6.6,242.666666666667,1.66666666666667,1.33333333333333,90.3,12.6666666666667,34.6,2.33333333333333,0.333333333333333,40,2.33333333333333,8.66666666666667,30,149.333333333333,5,1.33333333333333,1,0,36,9.33333333333333,31.1,0.666666666666667,37.6666666666667,25.6666666666667,68.1,6.1,231.333333333333,1,0.666666666666667,11,29.2,2.66666666666667,28.3333333333333,130,4.6,1.33333333333333,9.66666666666667,34.1,1
w_04,Broncos_Bears,34.6666666666667,22.6666666666667,65.4,7.6,263.666666666667,2,0.666666666666667,99.5,10.6666666666667,30.8,3.66666666666667,1.33333333333333,60,3.33333333333333,18,21.6666666666667,95,4.4,0.333333333333333,0,0,16,5.66666666666667,26.2,0,33,22.6666666666667,68.7,8.7,285.666666666667,2.33333333333333,0.666666666666667,12,36.4,0.333333333333333,34.3333333333333,121.666666666667,3.5,1.33333333333333,8.33333333333333,24.3,1
w_04,Bears_Broncos,29.3333333333333,17,58,6,175.333333333333,1,1.33333333333333,67.7,8.66666666666667,29.6,2.66666666666667,0,33,4.33333333333333,27,23.6666666666667,101.666666666667,4.3,0.666666666666667,0.333333333333333,0,29,6.33333333333333,26.8,0.333333333333333,31,24,77.4,9,280.666666666667,3,0.333333333333333,12.6666666666667,40.9,1.33333333333333,31.6666666666667,177.666666666667,5.6,2.33333333333333,9.33333333333333,29.5,0
w_04,Ravens_Browns,28.6666666666667,21,73.3,7.1,202.666666666667,0.666666666666667,0.333333333333333,95.5,9,31.4,2.66666666666667,0.333333333333333,52,2.66666666666667,12.6666666666667,35.3333333333333,158,4.5,2,0.333333333333333,0,20,10,28.3,0.333333333333333,29,14,48.3,3.8,111.666666666667,0.333333333333333,0.333333333333333,4.66666666666667,16.1,3,18.6666666666667,52,2.8,0,1.66666666666667,8.9,1
w_04,Browns_Ravens,34,21.6666666666667,63.7,6.6,226,1.33333333333333,0.666666666666667,87.8,11,32.4,2.33333333333333,0.333333333333333,43,4,20.3333333333333,35.3333333333333,160.666666666667,4.6,1,0.666666666666667,0.333333333333333,69,8.66666666666667,24.5,1,43,27.3333333333333,63.6,4.6,200,1,0.333333333333333,11.6666666666667,27.1,3.66666666666667,24.3333333333333,92.3333333333333,3.8,0,5,20.6,0
w_04,Bengals_Titans,40.6666666666667,22.3333333333333,54.9,4.6,187.666666666667,0.666666666666667,0.666666666666667,65.7,9.33333333333333,23,1.33333333333333,0.333333333333333,43,1.66666666666667,12.6666666666667,19.3333333333333,69.3333333333333,3.6,0.333333333333333,0.333333333333333,0,22,3.66666666666667,19,0,35.6666666666667,25.6666666666667,72,7.7,275.333333333333,1.66666666666667,0.333333333333333,12.6666666666667,35.5,3.33333333333333,26.3333333333333,69.3333333333333,2.6,0.333333333333333,4.33333333333333,16.5,0
w_04,Titans_Bengals,27.6666666666667,16.3333333333333,59,6.6,182.666666666667,0.333333333333333,1,67.8,7.33333333333333,26.5,2.66666666666667,1,70,4.33333333333333,33,23.6666666666667,90.3333333333333,3.8,0.666666666666667,0.333333333333333,0,23,5,21.1,0,31.6666666666667,19.3333333333333,61,6.3,200.666666666667,1.33333333333333,1,11,34.7,3,30,151.666666666667,5.1,0.666666666666667,8.33333333333333,27.8,1
