match_key,off_pass_att,off_pass_cmp,off_pass_cmp_pct,off_pass_yds_per_att,off_pass_pass_yds,off_pass_td,off_pass_int,off_pass_rate,off_pass_1st,off_pass_1st_pct,off_pass_20_plus,off_pass_40_plus,off_pass_lng,off_pass_sck,off_pass_scky,off_rush_att,off_rush_rush_yds,off_rush_ypc,off_rush_td,off_rush_20_plus,off_rush_40_plus,off_rush_lng,off_rush_rush_1st,off_rush_rush_1st_pct,off_rush_rush_fum,def_pass_att,def_pass_cmp,def_pass_cmp_pct,def_pass_yds_per_att,def_pass_yds,def_pass_td,def_pass_int,def_pass_1st,def_pass_1st_pct,def_pass_sck,def_rush_att,def_rush_rush_yds,def_rush_ypc,def_rush_td,def_rush_rush_1st,def_rush_rush_1st_pct
Giants_49ers,50.0,32.5,65.0,5.7,284.0,1.0,2.0,69.9,13.0,26.0,3.0,0.5,58.0,6.0,36.0,33.0,132.0,4.0,1.5,0.0,0.0,18.0,9.0,27.3,0.5,67.0,43.5,64.9,4.6,308.0,1.0,2.5,16.0,23.9,4.0,21.5,79.5,3.7,1.0,7.0,32.6
49ers_Giants,45.5,30.5,67.0,8.1,368.0,2.0,0.0,106.3,18.5,40.7,5.5,0.5,40.0,3.0,13.5,50.5,244.0,4.8,2.5,1.0,1.0,65.0,12.5,24.8,1.0,46.5,29.5,63.4,7.2,335.5,1.5,0.0,16.0,34.4,1.0,49.0,207.0,4.2,3.0,13.0,26.5
Titans_Browns,29.0,18.0,62.1,7.7,222.0,0.5,1.5,69.9,8.5,29.3,3.0,1.5,70.0,4.0,31.5,28.0,122.5,4.4,1.0,0.5,0.0,23.0,7.5,26.8,0.0,31.0,14.5,46.8,4.3,133.5,0.5,0.5,4.5,14.5,2.0,20.5,65.0,3.2,0.0,2.5,12.2
Browns_Titans,34.5,19.0,55.1,5.6,194.5,1.0,1.0,69.0,10.5,30.4,2.0,0.0,33.0,4.5,17.5,37.5,202.0,5.4,1.0,1.0,0.5,69.0,9.5,25.3,1.5,37.0,25.0,67.6,7.6,281.5,1.5,0.5,13.0,35.1,3.5,24.0,65.0,2.7,0.0,3.0,12.5
Falcons_Lions,25.0,17.0,68.0,7.0,176.0,1.0,0.5,93.1,8.0,32.0,2.5,0.5,45.0,2.5,13.0,35.5,170.5,4.8,1.5,1.0,0.0,22.0,11.0,31.0,0.0,40.0,26.5,66.2,6.7,268.5,2.0,0.5,14.0,35.0,0.5,24.0,86.0,3.6,1.0,6.5,27.1
Lions_Falcons,35.0,25.0,71.4,8.2,288.0,2.0,0.5,109.0,14.0,40.0,5.0,0.0,39.0,1.5,5.0,30.5,110.0,3.6,1.0,0.0,0.0,18.0,6.5,21.3,0.5,31.5,17.0,54.0,4.2,133.5,2.0,1.0,9.5,30.2,1.5,26.5,119.0,4.5,0.0,6.5,24.5
Saints_Packers,35.0,22.5,64.3,7.7,270.5,0.5,1.0,80.7,11.5,32.9,4.0,2.0,45.0,4.0,26.0,30.0,101.5,3.4,1.0,0.0,0.0,19.0,6.0,20.0,0.5,34.5,21.5,62.3,6.1,212.0,1.0,1.0,11.0,31.9,2.5,37.0,166.5,4.5,1.0,11.5,31.1
Packers_Saints,26.0,14.5,55.8,7.6,198.0,3.0,0.0,118.8,10.0,38.5,2.5,0.5,51.0,1.0,9.5,26.5,88.0,3.3,0.5,0.5,0.0,24.0,4.5,17.0,0.5,33.5,19.0,56.7,4.8,160.0,0.5,1.5,8.0,23.9,3.5,20.5,102.0,5.0,0.0,4.5,22.0
Broncos_Dolphins,33.0,22.5,68.2,7.4,242.5,2.5,0.5,108.5,9.5,28.8,3.0,1.5,60.0,4.5,21.0,22.5,108.0,4.8,0.5,0.0,0.0,15.0,7.5,33.3,0.0,37.5,27.0,72.0,5.3,200.0,1.0,0.5,10.0,26.7,3.5,32.5,160.5,4.9,2.0,13.5,41.5
Dolphins_Broncos,37.5,24.5,65.3,9.5,357.5,2.0,1.0,102.9,19.0,50.7,5.5,0.5,47.0,0.5,2.5,25.0,107.5,4.3,1.5,0.5,0.5,43.0,5.5,22.0,2.0,32.5,23.5,72.3,7.2,233.0,2.0,0.5,11.0,33.8,2.0,26.0,91.5,3.5,1.0,8.0,30.8
Chargers_Vikings,37.0,25.0,67.6,7.2,267.0,1.5,0.0,102.0,12.0,32.4,3.5,0.5,42.0,3.0,26.5,30.5,147.0,4.8,1.5,0.5,0.5,55.0,10.5,34.4,0.0,28.5,19.5,68.4,6.0,170.0,1.5,0.5,6.5,22.8,2.5,40.5,166.0,4.1,1.5,12.0,29.6
Vikings_Chargers,44.0,32.0,72.7,8.0,354.0,3.0,0.5,114.2,17.0,38.6,5.5,1.0,62.0,2.0,17.0,13.0,34.5,2.6,0.0,0.0,0.0,9.0,1.0,7.7,1.0,34.5,24.0,69.6,9.6,333.0,2.0,0.5,16.0,46.4,2.5,27.0,105.5,3.9,1.5,7.5,27.8
Patriots_Jets,48.0,33.0,68.8,5.7,273.5,2.0,1.0,88.3,14.0,29.2,1.0,0.0,32.0,3.0,20.5,23.5,82.0,3.5,0.5,0.0,0.0,18.0,7.5,31.9,0.0,39.5,30.0,76.0,5.9,232.5,1.5,1.5,13.5,34.2,3.0,33.0,115.5,3.5,0.0,8.0,24.2
Jets_Patriots,24.5,13.0,53.1,6.3,155.0,1.0,2.0,52.2,6.5,26.5,2.0,0.5,68.0,3.0,21.0,22.0,118.0,5.4,0.0,1.0,0.5,83.0,4.5,20.4,1.0,31.5,21.5,68.2,6.3,199.0,1.0,0.5,11.5,36.5,2.0,27.5,121.0,4.4,1.0,6.0,21.8
Bills_Commanders,39.0,30.0,76.9,6.5,255.0,2.0,1.5,94.5,14.0,35.9,1.5,0.5,40.0,3.5,13.0,28.5,140.0,4.9,1.0,0.5,0.0,36.0,9.0,31.6,1.0,31.0,19.5,62.9,6.3,195.5,1.5,0.5,8.5,27.4,5.0,24.0,109.0,4.5,0.5,7.0,29.2
Commanders_Bills,35.0,23.0,65.7,7.2,250.5,1.5,0.5,95.0,10.5,30.0,3.0,0.0,36.0,5.0,39.5,25.5,107.0,4.2,1.5,0.5,0.0,27.0,9.0,35.3,0.5,23.0,15.0,65.2,6.6,151.0,1.0,1.5,8.5,37.0,1.5,21.5,113.5,5.3,0.0,3.5,16.3
Texans_Jaguars,45.5,29.0,63.7,6.9,313.0,1.0,0.0,91.2,15.5,34.1,4.0,0.0,32.0,5.5,46.5,24.5,62.0,2.5,0.0,0.0,0.0,11.0,2.0,8.2,0.5,40.0,26.5,66.2,6.4,256.5,1.5,1.0,12.0,30.0,2.5,24.0,83.0,3.5,0.5,5.5,22.9
Jaguars_Texans,37.0,23.5,63.5,6.2,228.0,1.0,0.5,84.1,12.0,32.4,2.5,0.5,45.0,3.0,11.0,26.5,89.5,3.4,1.0,0.5,0.0,26.0,5.0,18.9,0.5,27.5,21.0,76.4,7.0,191.0,0.5,0.5,10.5,38.2,2.0,27.5,118.0,4.3,3.0,6.5,23.6
Colts_Ravens,36.0,24.5,68.1,6.2,225.0,1.0,0.5,88.3,12.5,34.7,2.5,0.5,43.0,2.0,4.0,24.5,95.5,3.9,2.0,0.0,0.0,18.0,5.0,20.4,0.5,42.5,27.5,64.7,4.8,206.0,1.0,0.5,13.0,30.6,3.0,19.0,69.0,3.6,0.0,2.5,13.2
Ravens_Colts,27.5,20.5,74.6,7.4,203.0,1.0,0.5,99.5,10.0,36.4,2.5,0.5,52.0,2.0,7.0,34.5,144.0,4.2,2.0,0.5,0.0,20.0,9.0,26.1,0.5,39.5,27.0,68.4,7.3,287.0,2.0,0.5,14.0,35.4,4.0,30.5,78.5,2.6,1.0,6.0,19.7
Panthers_Seahawks,35.5,21.0,59.2,4.2,149.5,1.0,1.0,66.6,8.5,23.9,0.5,0.0,22.0,3.0,16.5,25.5,127.0,5.0,0.0,1.0,0.0,26.0,6.5,25.5,1.0,36.5,26.0,71.2,8.9,325.0,1.5,0.5,17.0,46.6,1.0,33.5,97.0,2.9,2.0,6.5,19.4
Seahawks_Panthers,33.5,24.0,71.6,6.6,220.0,1.5,0.0,104.1,12.5,37.3,2.0,0.0,31.0,1.5,17.0,21.5,83.5,3.9,1.0,0.0,0.0,15.0,5.0,23.3,0.0,27.5,18.5,67.3,5.4,149.0,0.5,0.5,8.5,30.9,4.0,29.5,132.0,4.5,2.0,8.5,28.8
Bears_Chiefs,33.0,20.0,60.6,6.5,213.5,1.0,1.5,70.7,10.5,31.8,3.5,0.0,33.0,5.0,34.5,22.5,94.5,4.2,1.0,0.5,0.0,29.0,6.5,28.9,0.5,38.5,22.5,58.4,5.8,223.5,0.5,0.0,12.5,32.5,2.5,26.0,96.0,3.7,0.5,4.5,17.3
Chiefs_Bears,40.0,25.0,62.5,6.6,265.5,2.0,1.0,88.1,11.0,27.5,3.0,0.5,54.0,0.5,3.5,22.5,95.5,4.2,0.0,0.5,0.0,31.0,6.5,28.9,0.0,30.5,20.5,67.2,9.1,277.0,2.0,0.0,10.0,32.8,0.5,33.0,106.0,3.2,1.0,6.5,19.7
Cowboys_Cardinals,31.5,22.0,69.8,6.3,199.0,1.0,0.0,97.2,12.0,38.1,2.5,0.5,49.0,0.5,3.5,37.0,128.0,3.5,1.5,1.0,0.0,25.0,7.5,20.3,0.0,34.0,22.5,66.2,6.9,234.0,1.5,1.0,12.5,36.8,4.5,27.5,109.5,4.0,1.5,8.5,30.9
Cardinals_Cowboys,30.5,21.0,68.8,5.9,180.0,0.5,0.0,89.5,10.0,32.8,2.0,0.0,31.0,1.5,9.0,27.0,123.5,4.6,1.0,2.0,0.0,29.0,7.0,25.9,1.0,28.5,14.5,50.9,3.8,107.0,0.5,2.5,5.5,19.3,5.0,22.0,86.0,3.9,0.0,5.0,22.7
Steelers_Raiders,38.0,23.0,60.5,6.0,227.0,1.0,1.5,69.7,7.5,19.7,3.0,0.5,71.0,3.5,28.0,15.5,48.0,3.1,0.0,1.0,0.0,24.0,3.0,19.4,0.0,35.5,29.0,81.7,6.1,216.5,2.5,0.0,14.0,39.4,2.0,28.5,138.5,4.9,1.0,7.5,26.3
Raiders_Steelers,25.0,18.0,72.0,7.7,192.5,1.5,1.5,89.2,10.5,42.0,2.0,0.0,23.0,0.0,0.0,22.0,58.0,2.6,0.0,0.5,0.0,34.0,3.5,15.9,1.0,34.5,20.5,59.4,6.0,206.5,1.5,0.5,12.5,36.2,4.5,34.5,193.0,5.6,1.0,7.5,21.7
Eagles_Buccaneers,28.0,20.0,71.4,6.5,181.5,1.0,0.5,93.1,6.0,21.4,1.5,1.0,63.0,3.5,19.0,36.5,178.0,4.9,1.5,0.5,0.5,43.0,12.5,34.2,0.5,36.5,24.5,67.1,6.8,248.5,1.5,1.5,12.0,32.9,4.0,16.5,54.0,3.3,0.5,3.5,21.2
Buccaneers_Eagles,34.0,23.5,69.1,7.2,245.0,1.5,0.0,104.4,9.5,27.9,3.5,0.5,70.0,0.5,2.0,33.5,96.5,2.9,0.5,0.0,0.0,14.0,6.5,19.4,0.0,49.0,33.0,67.4,6.6,326.0,3.5,0.5,18.5,37.8,2.0,15.5,52.0,3.4,0.0,2.5,16.1
Rams_Bengals,46.5,29.0,62.4,6.9,320.5,0.5,1.0,77.4,17.0,36.6,3.5,0.5,44.0,0.5,5.0,31.0,90.5,2.9,2.0,0.0,0.0,12.0,8.5,27.4,0.0,31.0,20.0,64.5,6.2,190.5,1.5,0.5,10.5,33.9,1.5,38.5,192.0,5.0,1.0,11.5,29.9
Bengals_Rams,36.5,20.5,56.2,4.2,152.0,1.0,0.5,69.7,8.0,21.9,1.0,0.0,32.0,1.5,10.5,17.5,70.5,4.0,0.0,0.5,0.0,22.0,3.0,17.1,0.0,25.5,16.5,64.7,5.9,150.5,0.5,0.0,9.0,35.3,1.5,23.0,122.0,5.3,1.5,5.5,23.9
