visitante,local
Lions,Packers
Falcons,Jaguars
Dolphins,Bills
Broncos,Bears
Ravens,Browns
Bengals,Titans
Rams,Colts
Buccaneers,Saints
Commanders,Eagles
Vikings,Panthers
Steelers,Texans
Raiders,Chargers
Patriots,Cowboys
Cardinals,49ers
Chiefs,Jets
Seahawks,Giants
